   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin " ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP " ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP " ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI " ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net " ,"Property, Plant & Equip " ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
45 ,2013 ,11.06                    ,7.2             ,18.68        ,16.43                       ,- -                    ,23.72                   ,-139.94                     ,1.11          ,4.37                        ,-0.3                      ,7.25               ,-0.34                       ,7.3                  ,20.66  ,8.64              ,23.72  ,23.72  ,6.86             ,11.4                 ,-3.72             ,6.19               ,28.7               ,9.34                 ,4.99                            ,42.64                   ,7.83                    ,18.36       ,21.62           ,8.89                 ,13.19                           ,11.49                      ,- -                          ,-2.18           ,2.41                    ,5.58         ,22.09               ,-23.66  ,0.86                 ,18.42                     ,-21.06  ,-15.22               ,-17.51                       ,-0.77             ,1.25                 ,99.87        ,14.86             ,-19.16       ,11.27                           ,11.27        ,5.58                       ,-1.28              ,713.79   ,631.35             ,23.99                        ,-8.05         ,-7.7                  ,4.59                ,4.37       ,9.34                        ,-207.66        ,- -                      ,-224.12                  ,94.44                          ,39.77                 ,-2850                       ,-90.55                         ,28.31          ,- -            ,235                         ,-37.83                         ,-157.91             ,39.77                ,146.14         ,-1.09                ,81.83                   ,0.4340449619071058
46 ,2014 ,9.39                     ,8.46            ,11.05        ,9.08                        ,- -                    ,15.2                    ,-96.12                      ,21.28         ,22.45                       ,-1.98                     ,24.93              ,-1.94                       ,24.87                ,12.3   ,2.66              ,15.2   ,15.2   ,1.52             ,5.32                 ,11.94             ,0.57               ,30.28              ,0.17                 ,11.5                            ,-16.1                   ,3.64                    ,7.7         ,38.37           ,9.41                 ,9.3                             ,7.53                       ,- -                          ,-3.27           ,0.88                    ,5.18         ,3.62                ,-3.52   ,-9.42                ,2.42                      ,18.23   ,8.33                 ,12.06                        ,6.7               ,1.37                 ,-0.2         ,15.61             ,4.98         ,3.96                            ,3.96         ,5.18                       ,-2.02              ,-49.36   ,-51.29             ,3.71                         ,6.82          ,-8.04                 ,8.77                ,22.45      ,0.17                        ,2.14           ,2.86                     ,-226.32                  ,-5.62                          ,-11.87                ,-228.24                     ,2412.2                         ,27.7           ,-84.37         ,40.84                       ,-24.37                         ,-153.87             ,-11.87               ,-2.25          ,11.18                ,-22.92                  ,-0.0550571994819881
47 ,2015 ,7.66                     ,2.0             ,17.51        ,6.75                        ,- -                    ,38.96                   ,-780.0                      ,40.39         ,36.14                       ,-1.64                     ,38.41              ,-1.63                       ,38.4                 ,33.17  ,23.69             ,38.96  ,38.96  ,9.15             ,29.07                ,26.45             ,-0.37              ,26.71              ,5.35                 ,19.06                           ,1.31                    ,5.47                    ,7.01        ,-8.14           ,10.33                ,3.51                            ,6.24                       ,- -                          ,-2.62           ,-0.43                   ,5.22         ,8.63                ,-5.84   ,3.31                 ,7.93                      ,12.38   ,-1.19                ,4.2                          ,6.19              ,2.3                  ,-0.07        ,18.95             ,15.22        ,4.42                            ,4.42         ,5.22                       ,-1.62              ,-21.97   ,-25.27             ,4.24                         ,2.23          ,-8.03                 ,8.06                ,36.14      ,5.35                        ,-97.56         ,-18.52                   ,-96.79                   ,30.5                           ,-15.56                ,-5.42                       ,-9.66                          ,24.63          ,-17.84         ,23.41                       ,29.28                          ,-106.85             ,-15.56               ,52.81          ,12.85                ,-4.14                   ,0.380767989322661
48 ,2016 ,5.89                     ,2.61            ,10.84        ,7.89                        ,- -                    ,15.36                   ,-38.24                      ,14.91         ,15.41                       ,-1.64                     ,17.33              ,-1.22                       ,16.84                ,13.72  ,7.39              ,15.36  ,15.36  ,4.68             ,8.94                 ,8.99              ,-8.46              ,26.26              ,3.33                 ,16.96                           ,2.1                     ,3.45                    ,12.65       ,-56.18          ,7.33                 ,4.34                            ,7.58                       ,- -                          ,15.85           ,11.57                   ,9.24         ,19.66               ,-44.19  ,1.83                 ,17.21                     ,34.01   ,-6.73                ,10.73                        ,14.24             ,1.06                 ,99.86        ,17.94             ,15.89        ,5.06                            ,5.06         ,9.24                       ,-1.4               ,-90.88   ,-91.32             ,-9.38                        ,-8.43         ,-38.04                ,15.67               ,15.41      ,3.33                        ,1242.86        ,6.82                     ,-4780.0                  ,29.67                          ,11                    ,13.49                       ,61.31                          ,24.19          ,163.7          ,5.54                        ,-9.41                          ,61.9                ,11                   ,34.67          ,-3.7                 ,12.36                   ,0.1553800785477654
49 ,2017 ,11.57                    ,12.22           ,10.67        ,9.0                         ,- -                    ,13.05                   ,-85.71                      ,12.61         ,-9.19                       ,-1.17                     ,-8.11              ,-1.26                       ,-8.03                ,12.39  ,0.73              ,13.05  ,13.05  ,-0.81            ,1.33                 ,-18.61            ,7.41               ,16.45              ,7.68                 ,8.67                            ,4.9                     ,15.37                   ,15.97       ,52.13           ,13.11                ,14.51                           ,13.68                      ,- -                          ,3.98            ,7.64                    ,10.59        ,3.17                ,4.17    ,- -                  ,2.99                      ,27.34   ,21.59                ,24.57                        ,12.56             ,1.11                 ,-0.1         ,12.53             ,-17.54       ,8.81                            ,8.81         ,10.59                      ,-1.03              ,-1038.24 ,-962.27            ,1.46                         ,9.83          ,6.22                  ,3.87                ,-9.19      ,7.68                        ,5.32           ,5.32                     ,-207.05                  ,-26.91                         ,16.73                 ,-83.84                      ,-47.34                         ,15.08          ,16.73          ,2.88                        ,8.95                           ,138.24              ,16.73                ,-36.54         ,59.78                ,-19.52                  ,0.113611058222828
50 ,2018 ,6.38                     ,7.08            ,5.39         ,4.96                        ,- -                    ,5.99                    ,1933.33                     ,7.1           ,49.81                       ,-1.2                      ,51.64              ,-1.38                       ,51.91                ,5.59   ,-0.75             ,5.99   ,5.99   ,-0.93            ,-0.36                ,40.83             ,5.08               ,35.79              ,2.57                 ,-21.34                          ,-25.07                  ,8.17                    ,4.64        ,-27.45          ,-7.26                ,2.1                             ,3.46                       ,- -                          ,-0.95           ,0.17                    ,-3.93        ,0.96                ,- -     ,-6.29                ,-0.41                     ,-45.05  ,-2.6                 ,-25.11                       ,-12.53            ,1.28                 ,-0.07        ,17.3              ,17.13        ,4.14                            ,4.14         ,-3.93                      ,-2.04              ,-160.03  ,-157.65            ,15.83                        ,-6.88         ,54.12                 ,1.24                ,49.81      ,2.57                        ,2.02           ,2.02                     ,54.29                    ,37.53                          ,-9.55                 ,-448.56                     ,-91.97                         ,34.16          ,- -            ,45.65                       ,243.92                         ,-636.42             ,-9.55                ,56.63          ,-46.23               ,-8.2                    ,-0.2311146548003556
51 ,2019 ,-6.12                    ,-3.74           ,-9.56        ,-5.07                       ,- -                    ,-15.7                   ,14.75                       ,-15.36        ,-16.7                       ,-3.01                     ,-14.12             ,-3.18                       ,-13.96               ,-12.86 ,-7.18             ,-15.7  ,-15.7  ,-3.66            ,-10.2                ,-11.27            ,1.34               ,18.33              ,8.9                  ,-14.51                          ,44.01                   ,-8.93                   ,-0.56       ,36.14           ,-8.43                ,-103.56                         ,-46.0                      ,- -                          ,76.57           ,8.7                     ,-0.44        ,-3.46               ,-9.33   ,0.24                 ,-2.39                     ,42.68   ,-11.21               ,9.75                         ,2.71              ,1.54                 ,-0.03        ,10.49             ,-0.71        ,-2.92                           ,-2.92        ,-0.44                      ,-3.44              ,134.99   ,142.06             ,-10.48                       ,-6.18         ,20.57                 ,-7.36               ,-16.7      ,8.9                         ,31.68          ,31.68                    ,-93.01                   ,1.63                           ,-24.41                ,183.17                      ,-366.93                        ,14.77          ,- -            ,42                          ,-28.16                         ,-231.53             ,-24.41               ,7.73           ,10.41                ,22.01                   ,-0.1522912468348309
52 ,2020 ,-3.25                    ,-1.37           ,-6.14        ,-7.73                       ,- -                    ,-3.7                    ,-157.14                     ,-5.97         ,-6.78                       ,-2.37                     ,-4.52              ,-2.46                       ,-4.43                ,-2.85  ,0.42              ,-3.7   ,-3.7   ,-2.98            ,-0.46                ,-3.65             ,5.1                ,8.95               ,2.17                 ,25.06                           ,53.24                   ,-0.76                   ,-0.96       ,-23.36          ,7.84                 ,412.5                           ,-1.59                      ,- -                          ,4.08            ,-0.96                   ,3.36         ,15.85               ,- -     ,14.35                ,15.63                     ,-55.43  ,-7.61                ,-31.79                       ,-5.66             ,1.42                 ,- -          ,8.01              ,-7.78        ,10.89                           ,10.89        ,3.36                       ,-0.37              ,411.0    ,360.82             ,18.6                         ,-6.74         ,-25.69                ,-7.95               ,-6.78      ,2.17                        ,-4.51          ,-4.51                    ,-2405.56                 ,23.21                          ,-11.8                 ,-66.59                      ,-65.19                         ,6.37           ,- -            ,-80.29                      ,-0.27                          ,74.19               ,-11.8                ,28.97          ,-5.8                 ,32.18                   ,0.0120277418669694
53 ,2021 ,22.23                    ,24.67           ,18.29        ,6.22                        ,- -                    ,36.08                   ,-502.5                      ,40.93         ,41.23                       ,-1.01                     ,42.66              ,-0.79                       ,42.35                ,30.21  ,6.53              ,36.08  ,36.08  ,-3.22            ,11.33                ,15.54             ,24.01              ,8.27               ,-2.62                ,-8.44                           ,-22.65                  ,8.44                    ,49.18       ,-9.7            ,8.32                 ,-1.12                           ,9.66                       ,- -                          ,10.85           ,11.61                   ,9.93         ,25.18               ,- -     ,48.33                ,26.23                     ,50.71   ,9.08                 ,22.84                        ,25.13             ,3.02                 ,-0.07        ,12.63             ,3.18         ,-0.87                           ,-0.87        ,9.93                       ,-2.54              ,-46.38   ,-45.91             ,-20.75                       ,-14.19        ,-6.65                 ,-1.44               ,41.23      ,-2.62                       ,-6.3           ,-6.3                     ,-48.43                   ,14.05                          ,32.22                 ,-197.96                     ,-3065.25                       ,7.18           ,-3.47          ,546.38                      ,12.33                          ,-165.19             ,32.22                ,12.01          ,33.55                ,-19.24                  ,0.323855187769857
54 ,2022 ,6.08                     ,8.81            ,1.43         ,-4.35                       ,- -                    ,8.07                    ,-2801.86                    ,-64.24        ,-51.61                      ,-3.2                      ,-50.01             ,-3.43                       ,-49.89               ,7.01   ,0.88              ,8.07   ,8.07   ,-4.38            ,1.88                 ,-54.38            ,21.1               ,7.62               ,-1.28                ,-23.69                          ,-11.75                  ,-8.39                   ,15.35       ,38.87           ,-6.78                ,57.86                           ,-2.93                      ,- -                          ,1.82            ,-1.35                   ,-4.09        ,-17.34              ,47.06   ,-10.3                ,-16.5                     ,68.19   ,-5.69                ,24.26                        ,-3.51             ,1.24                 ,-0.1         ,2.07              ,-75.14       ,-4.61                           ,-4.61        ,-4.09                      ,-4.11              ,-81.06   ,-80.15             ,-2.49                        ,11.64         ,48.07                 ,-12.41              ,-51.61     ,-1.28                       ,2090.76        ,-6.72                    ,-383.33                  ,-38.95                         ,-6.39                 ,-228.57                     ,-102.31                        ,4.17           ,80.36          ,10.1                        ,2.33                           ,-75.89              ,-6.39                ,-43.27         ,0.67                 ,26.17                   ,-0.1263142508526764
55 ,2023 ,2.63                     ,-2.32           ,11.67        ,8.42                        ,- -                    ,14.98                   ,-94.51                      ,227.89        ,136.15                      ,-3.12                     ,143.76             ,-3.06                       ,143.6                ,13.61  ,10.69             ,14.98  ,14.98  ,8.81             ,12.03                ,130.09            ,2.63               ,6.89               ,1.82                 ,-24.57                          ,-13.11                  ,2.55                    ,-3.68       ,-19.89          ,-8.17                ,-513.28                         ,134.63                     ,- -                          ,-41.76          ,0.88                    ,-3.55        ,1.09                ,- -     ,2.67                 ,1.19                      ,-59.32  ,-4.94                ,-34.78                       ,-13.57            ,2.61                 ,-0.03        ,12.93             ,2.18         ,5.53                            ,5.53         ,-3.55                      ,-2.42              ,355.25   ,331.38             ,18.11                        ,-9.24         ,23.57                 ,- -                 ,136.15     ,1.82                        ,-91.33         ,3.6                      ,-107.04                  ,71.26                          ,3.27                  ,-24.42                      ,-397.53                        ,3.56           ,- -            ,-24.04                      ,58.94                          ,23.0                ,3.27                 ,86.14          ,-13.61               ,-27.48                  ,0.2244682095528547
